"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"S4","KOR","28784","Korea, Rep.","AUS","Australia",2015,"Import",5,5558.779
"S4","KOR","28784","Korea, Rep.","AUS","Australia",2016,"Import",5,6198.225
"S4","KOR","28784","Korea, Rep.","AUS","Australia",2017,"Import",5,4552.681
"S4","KOR","28784","Korea, Rep.","AUS","Australia",2018,"Import",5,6116.962
"S4","KOR","28784","Korea, Rep.","AUS","Australia",2019,"Import",5,1700.537
"S4","KOR","28784","Korea, Rep.","AUS","Australia",2020,"Import",5,2960.907
"S4","KOR","28784","Korea, Rep.","AUS","Australia",2021,"Import",5,4050.316
"S4","KOR","28784","Korea, Rep.","AUT","Austria",2015,"Import",5,17.28
"S4","KOR","28784","Korea, Rep.","AUT","Austria",2016,"Import",5,34.56
"S4","KOR","28784","Korea, Rep.","CHN","China",2015,"Import",5,37.802
"S4","KOR","28784","Korea, Rep.","CHN","China",2016,"Import",5,25.701
"S4","KOR","28784","Korea, Rep.","CHN","China",2017,"Import",5,1.306
"S4","KOR","28784","Korea, Rep.","CHN","China",2018,"Import",5,1.712
"S4","KOR","28784","Korea, Rep.","CHN","China",2019,"Import",5,2.879
"S4","KOR","28784","Korea, Rep.","CHN","China",2020,"Import",5,16.309
"S4","KOR","28784","Korea, Rep.","CHN","China",2021,"Import",5,31.339
"S4","KOR","28784","Korea, Rep.","GBR","United Kingdom",2015,"Import",5,58.108
"S4","KOR","28784","Korea, Rep.","GBR","United Kingdom",2016,"Import",5,45.423
"S4","KOR","28784","Korea, Rep.","GBR","United Kingdom",2017,"Import",5,42.976
"S4","KOR","28784","Korea, Rep.","GBR","United Kingdom",2018,"Import",5,33.562
"S4","KOR","28784","Korea, Rep.","GBR","United Kingdom",2019,"Import",5,31.368
"S4","KOR","28784","Korea, Rep.","GBR","United Kingdom",2020,"Import",5,29.668
"S4","KOR","28784","Korea, Rep.","GBR","United Kingdom",2021,"Import",5,32.808
"S4","KOR","28784","Korea, Rep.","HKG","Hong Kong, China",2021,"Import",5,0.7
"S4","KOR","28784","Korea, Rep.","IDN","Indonesia",2016,"Import",5,90.629
"S4","KOR","28784","Korea, Rep.","IDN","Indonesia",2017,"Import",5,9.152
"S4","KOR","28784","Korea, Rep.","IDN","Indonesia",2018,"Import",5,529.336
"S4","KOR","28784","Korea, Rep.","IDN","Indonesia",2019,"Import",5,1327.982
"S4","KOR","28784","Korea, Rep.","IDN","Indonesia",2020,"Import",5,612.286
"S4","KOR","28784","Korea, Rep.","IDN","Indonesia",2021,"Import",5,226.43
"S4","KOR","28784","Korea, Rep.","IND","India",2016,"Import",5,0.312
"S4","KOR","28784","Korea, Rep.","IND","India",2018,"Import",5,0.054
"S4","KOR","28784","Korea, Rep.","IND","India",2019,"Import",5,0.107
"S4","KOR","28784","Korea, Rep.","JPN","Japan",2015,"Import",5,0.648
"S4","KOR","28784","Korea, Rep.","JPN","Japan",2016,"Import",5,0.733
"S4","KOR","28784","Korea, Rep.","JPN","Japan",2017,"Import",5,1.816
"S4","KOR","28784","Korea, Rep.","JPN","Japan",2018,"Import",5,6.357
"S4","KOR","28784","Korea, Rep.","JPN","Japan",2019,"Import",5,3.865
"S4","KOR","28784","Korea, Rep.","LKA","Sri Lanka",2018,"Import",5,0.169
"S4","KOR","28784","Korea, Rep.","MYS","Malaysia",2016,"Import",5,0.161
"S4","KOR","28784","Korea, Rep.","MYS","Malaysia",2020,"Import",5,0.01
"S4","KOR","28784","Korea, Rep.","NGA","Nigeria",2016,"Import",5,0.022
"S4","KOR","28784","Korea, Rep.","OAS","Other Asia, nes",2015,"Import",5,195.014
"S4","KOR","28784","Korea, Rep.","OAS","Other Asia, nes",2016,"Import",5,48.305
"S4","KOR","28784","Korea, Rep.","OAS","Other Asia, nes",2018,"Import",5,0.046
"S4","KOR","28784","Korea, Rep.","OAS","Other Asia, nes",2019,"Import",5,0.964
"S4","KOR","28784","Korea, Rep.","SEN","Senegal",2017,"Import",5,20.585
"S4","KOR","28784","Korea, Rep.","SEN","Senegal",2019,"Import",5,29.019
"S4","KOR","28784","Korea, Rep.","THA","Thailand",2021,"Import",5,394.447
"S4","KOR","28784","Korea, Rep.","UKR","Ukraine",2015,"Import",5,220.725
"S4","KOR","28784","Korea, Rep.","UKR","Ukraine",2016,"Import",5,41.406
"S4","KOR","28784","Korea, Rep.","UKR","Ukraine",2017,"Import",5,62.185
"S4","KOR","28784","Korea, Rep.","UKR","Ukraine",2018,"Import",5,28.673
"S4","KOR","28784","Korea, Rep.","UKR","Ukraine",2020,"Import",5,0.051
"S4","KOR","28784","Korea, Rep.","UKR","Ukraine",2021,"Import",5,110.64
"S4","KOR","28784","Korea, Rep.","USA","United States",2015,"Import",5,41.703
"S4","KOR","28784","Korea, Rep.","USA","United States",2016,"Import",5,86.479
"S4","KOR","28784","Korea, Rep.","USA","United States",2017,"Import",5,83.055
"S4","KOR","28784","Korea, Rep.","USA","United States",2018,"Import",5,4.253
"S4","KOR","28784","Korea, Rep.","USA","United States",2019,"Import",5,32.701
"S4","KOR","28784","Korea, Rep.","USA","United States",2020,"Import",5,2.626
"S4","KOR","28784","Korea, Rep.","USA","United States",2021,"Import",5,23.035
"S4","KOR","28784","Korea, Rep.","VNM","Vietnam",2015,"Import",5,77.419
"S4","KOR","28784","Korea, Rep.","VNM","Vietnam",2016,"Import",5,254.686
"S4","KOR","28784","Korea, Rep.","VNM","Vietnam",2017,"Import",5,0.049
"S4","KOR","28784","Korea, Rep.","VNM","Vietnam",2018,"Import",5,1130.407
"S4","KOR","28784","Korea, Rep.","VNM","Vietnam",2020,"Import",5,0.053
"S4","KOR","28784","Korea, Rep.","VNM","Vietnam",2021,"Import",5,0.061
"S4","KOR","28784","Korea, Rep.","ZAF","South Africa",2015,"Import",5,2204.734
"S4","KOR","28784","Korea, Rep.","ZAF","South Africa",2016,"Import",5,3212.305
"S4","KOR","28784","Korea, Rep.","ZAF","South Africa",2017,"Import",5,6881.261
"S4","KOR","28784","Korea, Rep.","ZAF","South Africa",2018,"Import",5,10149.309
"S4","KOR","28784","Korea, Rep.","ZAF","South Africa",2019,"Import",5,7760.103
"S4","KOR","28784","Korea, Rep.","ZAF","South Africa",2020,"Import",5,3922.352
"S4","KOR","28784","Korea, Rep.","ZAF","South Africa",2021,"Import",5,4412.448
"S4","KOR","28785","Korea, Rep.","BDI","Burundi",2017,"Import",5,44.23
"S4","KOR","28785","Korea, Rep.","BDI","Burundi",2019,"Import",5,0.018
"S4","KOR","28785","Korea, Rep.","BOL","Bolivia",2018,"Import",5,8.7
"S4","KOR","28785","Korea, Rep.","BRB","Barbados",2019,"Import",5,93.946
"S4","KOR","28785","Korea, Rep.","CHN","China",2015,"Import",5,15.192
"S4","KOR","28785","Korea, Rep.","CHN","China",2016,"Import",5,0.755
"S4","KOR","28785","Korea, Rep.","CHN","China",2017,"Import",5,43.979
"S4","KOR","28785","Korea, Rep.","CHN","China",2019,"Import",5,3.692
"S4","KOR","28785","Korea, Rep.","CHN","China",2020,"Import",5,6.074
"S4","KOR","28785","Korea, Rep.","CHN","China",2021,"Import",5,27.262
"S4","KOR","28785","Korea, Rep.","COL","Colombia",2019,"Import",5,0.049
"S4","KOR","28785","Korea, Rep.","DNK","Denmark",2019,"Import",5,0.293
"S4","KOR","28785","Korea, Rep.","ESP","Spain",2017,"Import",5,0.142
"S4","KOR","28785","Korea, Rep.","IND","India",2020,"Import",5,0.016
"S4","KOR","28785","Korea, Rep.","JPN","Japan",2016,"Import",5,4.555
"S4","KOR","28785","Korea, Rep.","JPN","Japan",2017,"Import",5,16.979
"S4","KOR","28785","Korea, Rep.","JPN","Japan",2018,"Import",5,3.678
"S4","KOR","28785","Korea, Rep.","JPN","Japan",2019,"Import",5,3.907
"S4","KOR","28785","Korea, Rep.","JPN","Japan",2020,"Import",5,2.189
"S4","KOR","28785","Korea, Rep.","KEN","Kenya",2021,"Import",5,0.13
"S4","KOR","28785","Korea, Rep.","KHM","Cambodia",2021,"Import",5,0.015
"S4","KOR","28785","Korea, Rep.","KWT","Kuwait",2018,"Import",5,2897.602
"S4","KOR","28785","Korea, Rep.","KWT","Kuwait",2019,"Import",5,200.843
"S4","KOR","28785","Korea, Rep.","LBR","Liberia",2020,"Import",5,0.296
"S4","KOR","28785","Korea, Rep.","MEX","Mexico",2016,"Import",5,0.014
"S4","KOR","28785","Korea, Rep.","MEX","Mexico",2018,"Import",5,1.102
"S4","KOR","28785","Korea, Rep.","NLD","Netherlands",2016,"Import",5,1.109
"S4","KOR","28785","Korea, Rep.","NLD","Netherlands",2017,"Import",5,2.203
"S4","KOR","28785","Korea, Rep.","NLD","Netherlands",2018,"Import",5,1.149
"S4","KOR","28785","Korea, Rep.","NLD","Netherlands",2020,"Import",5,242.582
"S4","KOR","28785","Korea, Rep.","NZL","New Zealand",2020,"Import",5,0.709
"S4","KOR","28785","Korea, Rep.","RWA","Rwanda",2017,"Import",5,0.025
"S4","KOR","28785","Korea, Rep.","SGP","Singapore",2019,"Import",5,0.057
"S4","KOR","28785","Korea, Rep.","SVN","Slovenia",2021,"Import",5,0.011
"S4","KOR","28785","Korea, Rep.","USA","United States",2016,"Import",5,0.024
"S4","KOR","28785","Korea, Rep.","USA","United States",2017,"Import",5,1.737
"S4","KOR","28785","Korea, Rep.","USA","United States",2018,"Import",5,2.5
"S4","KOR","28785","Korea, Rep.","USA","United States",2019,"Import",5,3.395
"S4","KOR","28785","Korea, Rep.","USA","United States",2020,"Import",5,0.274
"S4","KOR","28785","Korea, Rep.","USA","United States",2021,"Import",5,10.827
"S4","KOR","28785","Korea, Rep.","ZAR","Congo, Dem. Rep.",2015,"Import",5,0.014
"S4","KOR","28785","Korea, Rep.","ZAR","Congo, Dem. Rep.",2018,"Import",5,0.052
"S4","KOR","68913","Korea, Rep.","BDI","Burundi",2015,"Import",5,6.966
"S4","KOR","68913","Korea, Rep.","BEL","Belgium",2017,"Import",5,0.225
"S4","KOR","68913","Korea, Rep.","BGD","Bangladesh",2020,"Import",5,4.661
"S4","KOR","68913","Korea, Rep.","CAN","Canada",2018,"Import",5,70.721
"S4","KOR","68913","Korea, Rep.","CAN","Canada",2021,"Import",5,5.75
"S4","KOR","68913","Korea, Rep.","CHN","China",2015,"Import",5,484.887
"S4","KOR","68913","Korea, Rep.","CHN","China",2016,"Import",5,868.763
"S4","KOR","68913","Korea, Rep.","CHN","China",2017,"Import",5,501.226
"S4","KOR","68913","Korea, Rep.","CHN","China",2018,"Import",5,63.145
"S4","KOR","68913","Korea, Rep.","CHN","China",2019,"Import",5,23.299
"S4","KOR","68913","Korea, Rep.","CHN","China",2020,"Import",5,60.396
"S4","KOR","68913","Korea, Rep.","CHN","China",2021,"Import",5,59.979
"S4","KOR","68913","Korea, Rep.","DEU","Germany",2015,"Import",5,20.41
"S4","KOR","68913","Korea, Rep.","DEU","Germany",2016,"Import",5,2.137
"S4","KOR","68913","Korea, Rep.","DEU","Germany",2017,"Import",5,1.919
"S4","KOR","68913","Korea, Rep.","DEU","Germany",2018,"Import",5,0.011
"S4","KOR","68913","Korea, Rep.","DEU","Germany",2019,"Import",5,14.349
"S4","KOR","68913","Korea, Rep.","DNK","Denmark",2018,"Import",5,0.222
"S4","KOR","68913","Korea, Rep.","FRA","France",2019,"Import",5,2.241
"S4","KOR","68913","Korea, Rep.","GBR","United Kingdom",2016,"Import",5,0.238
"S4","KOR","68913","Korea, Rep.","GBR","United Kingdom",2017,"Import",5,18.034
"S4","KOR","68913","Korea, Rep.","GBR","United Kingdom",2018,"Import",5,0.084
"S4","KOR","68913","Korea, Rep.","GBR","United Kingdom",2019,"Import",5,0.077
